number,count,percent_of_draws
5,212,21.41
3,203,20.51
8,196,19.8
7,192,19.39
4,187,18.89
6,183,18.48
1,181,18.28
2,167,16.87
9,163,16.46
10,147,14.85
12,84,8.48
11,65,6.57
