date,weekday,n1,n2,n3,n4,n5,e1,e2
2014-08-22,Friday,19,20,40,42,47,2,8
2014-08-29,Friday,1,8,9,12,37,2,6
2014-09-05,Friday,26,31,33,39,40,5,6
2014-09-12,Friday,2,9,17,25,29,3,5
2014-09-19,Friday,13,18,20,38,39,1,8
2014-09-26,Friday,8,26,32,44,50,4,7
2014-10-03,Friday,8,15,34,44,49,4,8
2014-10-10,Friday,11,17,20,22,29,4,6
2014-10-17,Friday,14,24,27,35,39,7,8
2014-10-24,Friday,3,15,22,26,37,2,4
2014-10-31,Friday,3,7,27,43,46,3,8
2014-11-07,Friday,5,13,25,33,35,4,8
2014-11-14,Friday,22,25,41,45,49,2,5
2014-11-21,Friday,4,18,35,41,43,4,5
2014-11-28,Friday,6,16,18,29,35,6,9
2014-12-05,Friday,11,25,32,42,47,4,9
2014-12-12,Friday,1,8,15,19,37,7,9
2014-12-19,Friday,10,11,25,32,49,5,9
2014-12-26,Friday,2,21,30,39,43,5,7
2015-01-02,Friday,16,29,38,42,48,5,6
2015-01-09,Friday,13,19,20,27,41,5,9
2015-01-16,Friday,1,4,14,32,48,5,6
2015-01-23,Friday,2,13,14,30,32,1,3
2015-01-30,Friday,3,4,8,11,41,2,8
2015-02-06,Friday,3,19,22,37,39,5,10
2015-02-13,Friday,3,7,14,46,48,6,9
2015-02-20,Friday,1,16,18,29,44,2,7
2015-02-27,Friday,9,28,30,43,49,8,10
2015-03-06,Friday,9,16,17,20,32,2,3
2015-03-13,Friday,1,10,25,39,44,1,2
2015-03-20,Friday,9,11,13,35,38,5,7
2015-03-27,Friday,3,26,31,33,50,3,9
2015-04-03,Friday,5,34,37,43,48,2,4
2015-04-10,Friday,1,18,26,40,47,3,4
2015-04-17,Friday,5,6,13,20,33,3,8
2015-04-24,Friday,4,17,27,33,46,3,9
2015-05-01,Friday,8,24,25,30,50,4,6
2015-05-08,Friday,19,31,32,40,46,8,9
2015-05-15,Friday,12,14,18,38,46,9,10
2015-05-22,Friday,8,23,24,39,50,1,5
2015-05-29,Friday,1,6,16,28,38,1,6
2015-06-05,Friday,19,38,40,41,50,1,5
2015-06-12,Friday,17,23,27,30,39,6,8
2015-06-19,Friday,12,14,20,21,39,5,10
2015-06-26,Friday,14,27,28,35,47,1,8
2015-07-03,Friday,1,31,40,41,45,5,9
2015-07-10,Friday,12,35,36,39,47,3,6
2015-07-17,Friday,6,21,30,37,44,1,3
2015-07-24,Friday,6,12,15,20,30,3,6
2015-07-31,Friday,11,19,24,46,49,1,5
2015-08-07,Friday,1,9,15,22,49,4,7
2015-08-14,Friday,1,7,27,28,41,2,6
2015-08-21,Friday,13,20,39,40,42,3,9
2015-08-28,Friday,5,8,33,34,46,3,8
2015-09-04,Friday,12,23,37,41,46,3,7
2015-09-11,Friday,7,22,27,30,31,5,7
2015-09-18,Friday,3,7,13,41,48,1,7
2015-09-25,Friday,3,5,13,16,30,3,6
2015-10-02,Friday,7,9,28,39,47,2,8
2015-10-09,Friday,13,14,23,26,31,3,9
2015-10-16,Friday,11,19,38,42,46,3,9
2015-10-23,Friday,16,18,34,36,49,6,8
2015-10-30,Friday,5,15,16,36,37,3,5
2015-11-06,Friday,2,4,8,22,24,3,9
2015-11-13,Friday,19,23,26,27,49,3,10
2015-11-20,Friday,1,18,20,31,36,5,9
2015-11-27,Friday,2,7,13,26,49,3,4
2015-12-04,Friday,14,16,26,34,38,2,8
2015-12-11,Friday,34,36,37,39,49,8,10
2015-12-18,Friday,11,19,27,32,42,5,9
2015-12-25,Friday,8,9,33,34,36,3,9
2016-01-01,Friday,11,14,35,44,45,5,6
2016-01-08,Friday,1,2,5,24,47,3,8
2016-01-15,Friday,4,23,25,37,39,1,9
2016-01-22,Friday,3,19,26,29,36,4,9
2016-01-29,Friday,3,20,32,40,42,4,9
2016-02-05,Friday,10,25,35,37,43,5,8
2016-02-12,Friday,7,20,21,33,41,1,2
2016-02-19,Friday,10,12,28,29,49,3,4
2016-02-26,Friday,9,11,19,42,45,7,10
2016-03-04,Friday,2,5,10,13,28,3,10
2016-03-11,Friday,10,16,31,37,40,3,9
2016-03-18,Friday,10,20,35,47,50,4,7
2016-03-25,Friday,9,10,19,20,35,3,4
2016-04-01,Friday,6,12,21,40,49,8,10
2016-04-08,Friday,1,2,16,31,50,1,7
2016-04-15,Friday,1,5,17,39,46,6,7
2016-04-22,Friday,5,28,31,33,49,1,2
2016-04-29,Friday,10,14,20,24,40,2,10
2016-05-06,Friday,12,24,38,45,46,6,10
2016-05-13,Friday,6,7,36,39,40,1,10
